"Company","Country"
"Azerbaijan National Agency for Mine Action ","Azerbaijan"
"Adcom Systems ","UAE"
"Alma DK ","Kazakhstan"
"Aeronautics ","Israel"
"Arsenal 2000 JSCo. ","Bulgaria"
"Aerovironment ","USA"
"Atlantic Technologies ",
"Autoclear/Scintrex ","USA"
"Azersun Holdinq ","Azerbaijan"
"Brahmos Aerospace ","India"
"BELL HELICOPTER ","USA"
"Belspecvneshtexnika ","Republic of Belarus"
"Bertin Technologies ","France"
"Camerotech ","Israel"
"CETC International Co.Ltd ","China"
"CIFAL France ","France"
"COHU HD ","USA"
"Concept.Com ","Luxembourg"
"Cristanini SpA ","Italy"
"CPMIEC China ","China"
"CSIR ","South Africa"
"Crypto AG ","Switzerland"
"Czech Association of Arms&Ammunition Manufacturers and Sellers ","Czech Republic"
"Damen Shipyards Group ","The Netherlands"
"DCNS Group ","France"
"Denel ","South Africa"
"DSIT ","Israel"
"Elbit Systems ","Israel"
"Em.tronic.d.o.o ","Slovenia"
"Emergent Biosolutions ","USA"
"Eratash ","Turkey"
"Favorit ","Russia"
"Fibrotex Tech","Israel"
"Fireco ","Italy"
"Flir Systems ","USA"
"GIDS Pakistan ","Pakistan"
"Global Industrial&Defence Solutions ","Pakistan"
"IAI ","Israel"
"IMI ","Israel"
"Indra ","Spain"
"Infora Limited ","Cyprus"
"Intel Dynamics ","UAE"
"Ispra LTD ","Israel"
"IWI","Israel"
"IX Blue ","France"
"Kamenskvolokno ","Russia"
"Kompass MDB ","Russia"
"Kovrov Electromechanical Plant ","Russia"
"Koza Insaat ve Savunma ","Turkey"
"Lacenaire Limited ","Cyprus"
"Lifesaver ","UK"
"Losberger RDS ","France"
"Mars Armor ","Bulgaria"
"MBDA ","France"
"Meprolight ","Israel"
"Ministry of Defence Industry of Azerbaijan Republic ","Azerbaijan"
"MKU Pvt.Ltd ","India"
"Motor SICH ","Ukraine"
"Nabucco ","Azerbaijan"
"NBC Defence ","France"
"Ness Technologies ","Israel"
"Norinco ","China"
"Obzerv Technologies ","Canada"
"OKB TSP ","Republic of Belarus"
"Optix Co ","Bulgaria"
"OOO Oboronnie Iniciativi ","Republic of Belarus"
"Paramount Group ","South Africa"
"Minotor Service ","Republic of Belarus"
"Plasan ","Israel"
"Prima ","Russia"
"Poly Technologies ","China"
"Polyus ST ","Russia"
"Proengin ","France"
"Rafael ","Israel"
"Rippel effect ","South Africa"
"Russian Technologies ","Russia"
"Russian Helicopters ","Russia"
"Rosoboronexport ","Russia"
"SCS Technologies ","Singapore"
"Selah Shipbuilding Industry Inc ","Turkey"
"SelexES ","Italy"
"SIBAT","inistry of Defence of Israel "
"Sierra Nevada Corporation ","USA"
"Solver Engineering ","Russia"
"Speel Praha ","Czech Republic"
"Spotter RF ","USA"
"Surrey HI Tech ","China"
"The State concern Ukroboronprom ","Ukraine"
"Thales ","France"
"Truvelo ","South Africa"
"UNIS Group ","Bosnia and Herzegovina"
"UralVagonZavod ","Russia"
"Yugoimport ","Serbia"
"Russian Helicopters ","Russia"
"Visionmap ","Israel"
"Elibra Global Guvenlik ve Telekomunikasyon A.S ","Turkey"
"National Group of Turkey","Turkey"
"Adacam ","Turkey"
"Aselsan ","Turkey"
"AVS (SAGA) ","Turkey"
"Ayesas ","Turkey"
"C2Tech ","Turkey"
"Dearsan ","Turkey"
"F?GES ","Turkey"
"FOSTER ","Turkey"
"GATE ","Turkey"
"Havelsan ","Turkey"
"??bir ","Turkey"
"Makel ","Turkey"
"MKEK ","Turkey"
"Milsoft ","Turkey"
"Otokar ","Turkey"
"Öztiryakiler ","Turkey"
"Repkon ","Turkey"
"Roketsan ","Turkey"
"Sars?lmaz ","Turkey"
"Savronik ","Turkey"
"Simsoft ","Turkey"
"SSM ","Turkey"
"STM ","Turkey"
"TA? ","Turkey"
"Timsan ","Turkey"
"Tisa? ","Turkey"
"Transvaro ","Turkey"
"Tübitak Bilgem ","Turkey"
"Vestel ","Turkey"
"Yakupo?lu ","Turkey"
"Yonca Onuk ","Turkey"
"Turmaks ","Turkey"
"Teksav ","Turkey"
"Korporacja Wschód Sp. z o.o. ","Poland"
"AM Technologies Polska Sp. Z o. o, Poland ","Poland"
"Autocomp Management Sp. Z o .o, Poland ","Poland"
"Bumar Elektronika S.A, Poland ","Poland"
"ZPS GAMRAT Sp. Z o .o, Poland ","Poland"
"Techno Marine Sp.z.o.o ","Poland"
"JAKUSZ Sp. Z o .o, Poland ","Poland"
"PUPH ""MIND"" Sp.z o . O, Poland ","Poland"
"Polish Armanents Group ","Poland"
"Przemyslowy Instytut Automatyki I Pomiarow PIAP ","Poland"
"WB Electronics S.A, Poland ","Poland"
"Wojskowy Instytut Techniczny Uzbrojenia, Poland ","Poland"
"Wojskowe Zaklady Elektroniczne S.A ","Poland"
"Wojskowe Zaklady Inzynieryjne S.A ","Poland"
"WICHiR(Military Institute of Chemistry and Radiometry) ","oland"
"Wojskowy Zaklady Lacznosci Nr 1 S.A. ","Poland"
"Hyundai Heavy Industries ","South Korea"
"EO System ","South Korea"
"Sunghan Corporation ","South Korea"
"KDIA ","South Korea"
"Iones ","South Korea"
