"Company","Country","Product categories"
"Agregate Production Union","Azerbaijan",
"Ufug Production Union","Azerbaijan",
"Vympel State Engineering Design Bureau JSC named after I.I. Toropov","Russia","Combat missiles"
"“Jihaz” Production Union ","Azerbaijan",
"“Sharg” Production Union","Azerbaijan",
"140 REPAIR PLANT","Republic of Belarus","Overhaul and modernization of armored vehicles and armaments"
"1news.az","Azerbaijan","Information agency"
"Abc.az","Azerbaijan","Information agency"
"Aeronautics group","Israel","UAV"
"Aerospace Review","Russia","Magazine"
"AGAT – Control Systems","Republic of Belarus","C4ISR, communication systems, air and land robotic platforms"
"Ahiler Development Agency","Turkey",
"Air Defense and Military Technology Service Center LLC","Azerbaijan","Improvement, development and modeling of armament systems, military research work"
"AIRBUS","France","Aircraft, Space Systems, Earth Observation and Telecommunication Satellite Systems"
"Aircraft Repair Plant 150","Russia",
"Aircraft Repair Plant 356","Russia",
"AKSA RUN FLAT (TEKCAN)","Turkey","Runflat systems"
"Alma DK ","Kazakhstan","Wapons, ammunition, military equipment"
"ANAMA","Azerbaijan","Azerbaijan National Agency for Mine Action"
"ANOVA","Turkey","Defense and aerospace engineering solutions"
"AO Energiya","Russia","Chemical sources of current for space and rocket-artillery ordnance"
"ARGERF","Turkey",
"Armada International","India","Magazine"
"Armiya","Belarus","Magazine"
"Armscom.net","Estonia","Website"
"Army and Navy Review","Russia","Magazine"
"Army Recognition","Belgium","Website"
"ARMYTEX","Kazakhstan","Manufacturer of parachute braking systems for fighter aircrafts"
"ARS POLYMER MACHINERY AND METAL PRODUCTION INDUSTRY AND TRADE LTD","Turkey",
"Arsenal 2000 JSCo","Bulgaria","Guns, rifles, ammunition"
"ARTEM SJSHC","Ukraine","Aviation means of attack and defense, avionics, Helicopter defence systems"
"ArtOS","Ukraine","Performance optimization of artillery firing units"
"Arzamas machine-building plant","Russia","Armored Personnel Carriers"
"ASAN Radio","Azerbaijan","Radio"
"ASELSAN","Turkey","Military communication, radars, EW, electro-optic systems"
"Asgar and?","Azerbaijan","TV Programme"
"Asian Defence Technology","Singapure","Magazine"
"Asian Military Review","India","Magazine"
"ASK","Azerbaijan","Support"
"Aviation & Sport","Russia","Magazine"
"AVS Defence & Textile","Turkey","Military&Police Garments and Equipment"
"Azeri Defence","Azerbaijan","Magazine"
"Azersun","Azerbaijan",
"Azertag.az","Azerbaijan","Information agency"
"AzPromo","Azerbaijan",
