"Company","Country"
"3DI Korea","Korea"
"Ace Techmologies","Korea"
"ACS Aviation Solutions","Australia"
"Advanced Manufacturing Cooperative Research Centre (AMCRC)","Australia"
"Aero Electronics (Hong Kong) Limited","Hong Kong"
"Aero Master Corporation","Korea"
"Aero Precision - A Greenwich AeroGroup Company","USA"
"AEROMAOZ Ltd.","Israel"
"Aerospace & Defense","Korea"
"Aerospace Engineering Services Joint Stock Company (AESC)","Vietnam"
"Aerospace Facilities Group, Inc.","USA"
"Aerospace Human Resource Academy","Korea"
"Aerospace Precision Metals","USA"
"Agency for Defense Development","Korea"
"Agusta Westland","Italy"
"AIR LIQUIDE","France"
"AirBorn","USA"
"Airbus","France"
"Airsense","Germany"
"Airshow China 2014","China"
"ALKAN SAS","France"
"American Technologies Network, Corp.","USA"
"Amphenol Daeshin","Korea"
"AP Aerospace","Korea"
"ARAMICORE COMPOSITE CO., LTD","China"
"Argon ST","Korea"
"Armada","Hong Kong"
"ARTECH","Korea"
"ASB Aerospatiale Batteries","France"
"ASI Services","USA"
"Asia Pacific Satellite communications Inc.","Korea"
"ASIAN MILITARY REVIEW","India"
"Astrium SAS","France"
"ATK","USA"
"Atlas Copco Korea","Korea"
"Austrade (Australian Trade Commission)","Australia"
"Aviation Australia","Australia"
"AXON CABLE S.A.S","France"
"BAE Systems","UK"
"Beijing Micro Pilot UAV Remote Control Systems Ltd.","Hong Kong"
"Boeing","USA"
"Boramae Flight Training Center","Korea"
"Bralco Metals","USA"
"BSP Partners Co., Ltd.","Korea"
"CAMTIC","Korea"
"Capital Logistic Services, Inc.","USA"
"CASSIDIAN","Germany"
"CDK Mobile Systems Inc.","USA"
"Chungbuk Free Economic Zone Authority","Korea"
"Chungnam National University","Korea"
"Cintec International Ltd.","UK"
"CIRRUS AVIATION","Korea"
"Cobham Plc","UK"
"Combat Medical Systems (CMS)","USA"
"Comco","Korea"
"COMESTA,INC.","Korea"
"Composite Engineeing Inc.","USA"
"CONTROP","Israel"
"COTS Technology","Korea"
"CP Cases Ltd","Korea"
"CSIR","South Africa"
"Curtiss Wright Controls - Defense Solutions","Canada"
"D. I. Optical Co., Ltd.","Korea"
"D. I. Optical USA Inc.","USA"
"DAC International - A Greenwich AeroGroup Company","USA"
"DACC Aerospace Co., LTD","Korea"
"DAEAH TECH","Korea"
"DAEHWA Aerospace Industries Co., Ltd","Korea"
"DAIN SEMICOM INC","Korea"
"Dakota Air Parts Intl. Inc.","USA"
"DANAM systems Inc.","Korea"
"Dawin Friction Corporation","Korea"
"DEFENCE AND SECURITY OF INDIA","India"
"Defence Exhibition Organization, Ministry of Defence","India"
"Defence Research and Development Organisation (DRDO)","India"
"Denel Soc Ltd","South Africa"
"DEVGRU communications","Korea"
"Diamond Aircraft Industries","Austria"
"DICRONITE KOREA","Korea"
"DIGITLOG, Ltd.","Korea"
"DILLON AERO, INC","USA"
"DK Corp","Korea"
"DoDAAM SYSTEMS LTD.","Korea"
"Dong Sung Electric Machine Co. LTD","Korea"
"Donghwa ACM Co., Ltd","Korea"
"Doosan Corporation Mottrol","Korea"
"Doosan DST","Korea"
"DOOWON HEAVY INDUSTRIAL CO., LTD.","Korea"
"DSM Dyneema APAC","Netherlands"
"d-Space","Germany"
"Dunlop Aircraft Tyres Ltd.","UK"
"e2v","Hong Kong"
"e2v Korea","Korea"
"EADS","EU"
"Ecosian","Korea"
"ED Com Co., LTD","Korea"
"EGT Co., Ltd.","Korea"
"ELBIT SYSTEMS","Israel"
"ELECCOM","Korea"
"EMCC DR. RASEK","Germany"
"EMKOREA Co., Ltd","Korea"
"Enstrom Helicopter","USA"
"EO SYSTEM CO. LTD.","Korea"
"ERAP KOREA CO., LTD","Korea"
