Company,Product categories,Company description,Page_URL
10-24 Products,SHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  Firearm CasesSHOT -  Retailer Services,"10-24 Products is dedicated to tactical innovation and provides unique concealed carry options, training and safety aids, and a pistol frame developed for .22 pistol shooters looking for the same tactical feel in their rimfire pistols as their duty or competition handguns.

10-24 Products is now the exclusive distributor of BULL-IT Box! Come see us at the show! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3
1791 Gunleather,SHOT -  Hearing Protection,"1791 Outdoor Lifestyle Group: Based in Miami, FL, 1791 Outdoor Lifestyle Group is a premier
designer, innovator and manufacturer of premium leather holsters, EDC tool organizers, outdoor gear,
and accessories.

Combining true old-world craftsmanship with new world applicability, 1791 expertly
crafts leather goods that are as functional as they are attractive.

1791 always uses 100% Certified American, Heavy Native Steerhide, and their team incorporates four
generations of professional leather artisans into the mastery of both beautiful craftsmanship and
functionality found in each holster. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=6
1934 Armory,Supplier -  FabricationSupplier -  MachiningSupplier -  Finishing,"1934 Armory - where tradition and innovation meet to redefine the art of firearms craftsmanship. Founded in 2023 by owner Bert Elsner, the armory is a testament to our unwavering commitment to excellence, customer service and dedication to producing top-quality firearms. At 1934 Armory, we understand that owning a firearm is about possessing a piece of art that embodies both form and function. That is why our bolt-action firearms are not only exceptional in performance but also exquisitely designed, reflecting the elegance and timeless appeal of classic firearms. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3671
2nd Amendment Wholesale,"SHOT - Treestands
Supplier","2nd Amendment Wholesale is dedicated to 100% wholesale-only sales and founded to serve Federal Firearm Licensed retailers around the country with fast shipping, superior service, and highly competitive prices. We thoroughly believe all the products we carry will yield high profits for any local gun shop that decides to stock them. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1679
3D Systems,Supplier -  MachinerySupplier -  MetalsSupplier -  PlasticsSupplier -  ServicesSupplier -  Software,"3D Systems launched the 3D printing industry in 1986 & has been leading additive manufacturing innovation ever since. Our broad portfolio of hardware, software, & material solutions spans from plastics to metals, & is backed by industry-specific engineering expertise housed in our Applications Innovation Group. We take a consultative, application-focused approach to solving your most difficult design & production challenges. The combination of our solutions, expertise, & innovation helps our users defy conventional manufacturing limitations & maximize the value of additive manufacturing. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3122
3M Peltor & 3M Scott,SHOT -  Hearing Protection,"3M offers a comprehensive, diverse portfolio of personal protective equipment solutions, providing PELTOR-branded hearing protection, protective communications and tactical safety equipment. 3M also offers tactical safety equipment, including combat hearing and respiratory protection, Scotchlite reflective material for garments and communications systems for the military in Booth #60411. For hunting and shooting needs, please visit PELTOR Sport, Booth #43457. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=7
4 Stable Stick,SHOT -  Game CallsSHOT -  Pet Supplies/Training EquipmentSHOT -  Gunsmith ToolsSHOT -  Scents/Lures,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1675
4473 Cloud,4473 CLOUD HELPS FFLS GO PAPERLESS IN 2024,"4473 Cloud is the firearm industry’s leading ATF-compliant, attorney-backed, NSSF-endorsed digital storage solution. 4473 Cloud allows FFLs to electronically store 4473 documents, safely, securely, and simply. Meet all of the ATF’s storage requirements, make trace requests a breeze, and get rid of decades-worth of paperwork in your storage room. Save money, time, and space by storing your 4473s in the Cloud. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3997
4M Systems,,"At 4M Systems, we work to give our customers, our former colleagues and comrades the best equipment for their protection and assistance during service. Because we ourselves have vivid memories of how inadequate equipment could complicate life in combat deployment or training, we strive to find solutions that are not complications but simplifications. Every police officer, soldier or other user will know that this effort is reflected in each of our products. All CZ 4M vests, helmets, backpacks or holders can be relied on in any situation. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3909
5.11,"SHOT -  FootwearSHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Bags/Packs & EquipmentSHOT -  Law Enforcement Products/ServicesSHOT -  Cutlery/Sharpeners/Knives/Accessories","5.11 is the pioneer and world-leading maker of purpose-built gear. Grounded in the knowledge, experience and insights of professionals and elite end users around the world, 5.11 makes technical products that really work. We design for life’s most demanding missions, its toughest jobs and its greatest ambitions. We build to the highest standards: battle-ready, field-tested, functional, comfortable and lasting. We make gear engineered to work exceptionally and to empower and inspire those who tackle the toughest challenges head-on. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=9
