Slug,Start date,End date,Organiser,Exhibitor,Delegation,Website,Alias
,,,,,,,
3cdse-2017,2017-02-01,2017-02-01,3,,,http://www.hdse.co.uk,Herefordshire Defence & Security Expo 2017;HDSE 2017;Three Counties Defence & Security Expo 2017
3cdse-2018,2018-05-31,2018-05-31,1,39,,https://www.3cdse.co.uk,Three Counties Defence & Security Expo 2018
3cdse-2019,2019-07-16,2019-07-17,1,72,,https://www.3cdse.co.uk,Three Counties Defence & Security Expo 2019
3cdse-2021,2021-11-03,2021-11-04,2,124,,https://www.3cdse.co.uk,Three Counties Defence & Security Expo 2021
3cdse-2022,2022-11-02,2022-11-03,2,,,https://www.3cdse.co.uk,Three Counties Defence & Security Expo 2021
,,,,,,,
aad-2004,2004-09-21,2004-09-25,,,,http://www.aadexpo.co.za,African Aerospace and Defence 2004
aad-2006,2006-09-20,2006-09-24,,209,,http://www.aadexpo.co.za,African Aerospace and Defence 2006
aad-2008,2008-09-17,2008-09-21,,220,,http://www.aadexpo.co.za,African Aerospace and Defence 2008
aad-2010,2010-09-21,2010-09-25,,323,,http://www.aadexpo.co.za,African Aerospace and Defence 2008
aad-2012,2012-09-19,2012-09-23,,295,,http://www.aadexpo.co.za,African Aerospace and Defence 2012
aad-2014,2014-09-17,2014-09-21,,477,,http://www.aadexpo.co.za,African Aerospace and Defence 2014
aad-2016,2016-09-14,2016-09-18,,448,,http://www.aadexpo.co.za,African Aerospace and Defence 2016
aad-2018,2018-09-19,2018-09-23,,374,,http://www.aadexpo.co.za,African Aerospace and Defence 2018
aad-2022,2022-09-21,2022-09-25,,,,http://www.aadexpo.co.za/,Africa Aerospace & Defence
,,,,,,,
adas-2014,2014-07-16,2014-07-18,,133,,https://www.adas.ph/,Asian Defence Security and Crisis Management Exhibition
adas-2016,2016-09-28,2016-09-30,,131,,https://www.adas.ph/,Asian Defence Security and Crisis Management Exhibition
adas-2018,2018-09-26,2018-09-28,,109,,https://www.adas.ph/,Asian Defence Security and Crisis Management Exhibition
adas-2022,2022-04-27,2022-04-29,,129,,https://www.adas.ph/,Asian Defence Security and Crisis Management Exhibition
,,,,,,,
adecs-2018,2018-01-30,2018-01-31,1,,,https://www.asia-decs.com,Asia Defence Expo & Conference Series;Asia DECS;Undersea Defence Technology Asia 2018;UDT Asia 2018;Military Training and Simulation Asia 2018;MilSim Asia 2018;Electronic Warfare Singapore 2018;Maritime Defence Asia 2018
adecs-2019,2019-01-30,2019-01-31,1,,,https://www.asia-decs.com,Asia Defence Expo & Conference Series;Asia DECS;Undersea Defence Technology Asia 2019;UDT Asia 2019;Military Training and Simulation Asia 2019;MilSim Asia 2019;Electronic Warfare Singapore 2019;Maritime Defence Asia 2019
adecs-2020,2020-02-04,2020-02-05,1,,,https://www.asia-decs.com,Asia Defence Expo & Conference Series;Asia DECS;Undersea Defence Technology Asia 2020;UDT Asia 2020;Military Training and Simulation Asia 2020;MilSim Asia 2020;Electronic Warfare Singapore 2020;Maritime Defence Asia 2020
,,,,,,,
adex-2014,2014-09-11,2014-09-13,1,,,https://adex.az,1st Azerbaijan International Defence Exhibition
adex-2016,2016-09-27,2016-09-30,1,,,https://adex.az,2nd Azerbaijan International Defence Exhibition
adex-2018,2018-09-25,2018-09-27,1,,,https://adex.az,3rd Azerbaijan International Defence Exhibition
adex-2022,2022-09-06,2022-09-08,1,120,,https://adex.az/,4th Azerbaijan International Defence Exhibition
,,,,,,,
ads-2012,2012-09-25,2012-09-27,,,,http://www.adsshow.eu,ADS Show Europe 2012;Aero Defence Support Show 2012
ads-2014,2014-09-09,2014-09-11,,,,http://www.adsshow.eu,ADS Show Europe 2014;Aero Defence Support Show 2014
ads-2016,2016-09-28,2016-09-29,,,,http://www.adsshow.eu,ADS Show Europe 2016;Aero Defence Support Show 2016;World Military MRO Exhibition
ads-2018,2018-09-26,2018-09-27,,,,http://www.adsshow.eu,ADS Show Europe 2018;Aero Defence Support Show 2018
ads-2022,2022-09-29,2022-09-30,,,,http://www.adsshow.eu,ADS Show Europe 2022;Aero Defence Support Show 2022
,,,,,,,
aero-india-1996,1996-12-03,1996-12-07,,,,https://aeroindia.gov.in,
aero-india-1998,1998-12-08,1998-12-12,,,,https://aeroindia.gov.in,
aero-india-2001,2001-02-07,2001-02-11,,199,,http://aeroindia.gov.in/aero2001.asp,
aero-india-2003,2003-02-05,2003-02-09,,220,,http://aeroindia.gov.in/aero2003.asp,
aero-india-2005,2005-02-09,2005-02-13,,160,,https://aeroindia.gov.in,
aero-india-2007,2007-02-07,2007-02-11,,304,,https://aeroindia.gov.in,
aero-india-2009,2009-02-11,2009-02-15,,445,,https://aeroindia.gov.in,
aero-india-2011,2011-02-09,2011-02-13,,383,,https://aeroindia.gov.in,
aero-india-2013,2013-02-06,2013-02-10,,405,,https://aeroindia.gov.in,
aero-india-2015,2015-02-18,2015-02-22,,425,,https://aeroindia.gov.in,
aero-india-2017,2017-02-14,2017-02-18,,443,,https://aeroindia.gov.in,
aero-india-2019,2019-02-20,2019-02-24,,401,,https://aeroindia.gov.in,
aero-india-2021,2021-02-03,2021-02-07,,602,,https://aeroindia.gov.in,
,,,,,,,
aoc-europe-2015,2015-05-26,2015-05-28,1,41,,http://www.eweurope.com/,Association of Old Crows 2015;Electronic Warfare Europe 2015;EW Europe 2015
aoc-europe-2016,2016-05-10,2016-05-12,1,,,https://www.eweurope.com/,Association of Old Crows 2016;Electronic Warfare Europe 2016;EW Europe 2016
aoc-europe-2017,2017-05-06,2017-05-08,1,70,,https://www.eweurope.com/,Association of Old Crows 2017;Electronic Warfare Europe 2017;EW Europe 2017
aoc-europe-2018,2018-06-05,2018-06-07,1,,,https://www.eweurope.com/,Association of Old Crows 2018;Electronic Warfare Europe 2018;EW Europe 2018
aoc-europe-2019,2019-06-05,2019-06-07,1,,,https://www.eweurope.com/welcome,Association of Old Crows 2019;Electronic Warfare Europe 2019;EW Europe 2019
aoc-europe-2021,2021-10-11,2021-10-13,,66,,aoceurope.org,Association of Old Crows 2021;Electronic Warfare Europe 2021;EW Europe 2021
aoc-europe-2022,2022-05-10,2022-05-12,1,71,,aoceurope.org,Association of Old Crows 2022;Electronic Warfare Europe 2022;EW Europe 2022
,,,,,,,
asian-defense-security-2003,2003-09-25,2003-09-25,1,,,http://www.asiandefense.com,"Asian Defense Exhibition, Conference and Networking Event 2003"
asian-defense-security-2005,2005-11-02,2005-11-05,1,,,http://www.asiandefense.com,"Asian Defense Exhibition, Conference and Networking Event 2005"
asian-defense-security-2007,2007-11-07,2007-11-10,1,,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2007"
asian-defense-security-2009,2009-11-04,2009-11-07,1,,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2009"
asian-defense-security-2011,2011-11-02,2011-11-05,1,211,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2011"
asian-defense-security-2013,2013-11-04,2013-11-07,1,281,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2013"
asian-defense-security-2015,2015-11-02,2015-11-05,1,288,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2015"
asian-defense-security-2017,2017-11-06,2017-11-09,1,207,,http://www.asiandefense.com,"Tri-Service Asian Defense & Security Exhibition, Conference and Networking Event 2017"
asian-defense-security-2019,2019-11-18,2019-11-21,1,77,,http://www.asiandefense.com,"Tri-Service Asian Defense & Security Exhibition, Conference and Networking Event 2019"
asian-defense-security-2022,2022-08-08,2022-09-01,1,,,http://www.asiandefense.com,"Tri-Service Asian Defense & Security Exhibition, Conference and Networking Event 2022"
,,,,,,,
avalon-2009,2009-03-10,2009-03-15,2,,,https://www.airshow.com.au,Australian International Aerospace & Defence Exposition 2009
avalon-2011,2011-03-01,2011-03-06,2,,,https://www.airshow.com.au,Australian International Aerospace & Defence Exposition 2011
avalon-2013,2013-02-26,2013-03-01,2,599,,https://www.airshow.com.au,Australian International Aerospace & Defence Exposition 2013
avalon-2015,2015-02-24,2015-03-01,2,491,,https://www.airshow.com.au,Australian International Aerospace & Defence Exposition
avalon-2017,2017-02-28,2017-03-05,1,641,,https://www.airshow.com.au,
avalon-2019,2019-02-26,2019-03-03,,562,,https://www.airshow.com.au,
